"STATE_CODE","SHRP_ID","CONSTRUCTION_NO","CN_ASSIGN_DATE","CN_CHANGE_REASON","RECORD_STATUS","GPS_SPS","EXPERIMENT_NO","STATUS","ASSIGN_DATE","DEASSIGN_DATE","SEAS_ID","SUPPLEMENTAL","EXP_SECT_RS","BASIC_INFO_RS","PAV_STRUCT_RS","TRAFFIC_RS","CLIMATIC_RS"
26,"3068",2,4/1/1991 0:00:00,"6","E","G","3","O",1/1/1987 0:00:00,5/30/1993 0:00:00,,,"E","E","E","E","E"
26,"3068",3,3/15/1992 0:00:00,"6","E","G","3","O",1/1/1987 0:00:00,5/30/1993 0:00:00,,,"E","E","E","E","E"
26,"A310",2,6/15/1990 0:00:00,"1","E","S","3","O",1/1/1987 0:00:00,9/3/1998 0:00:00,,,"E","E","E","E","E"
26,"A310",3,10/30/1990 0:00:00,"19","E","S","3","O",1/1/1987 0:00:00,9/3/1998 0:00:00,,,"E","E","E","E","E"
27,"1018",3,8/29/1994 0:00:00,"28","E","G","1","O",1/1/1987 0:00:00,6/22/1995 0:00:00,"A",,"E","E","E","E","E"
27,"4037",2,7/17/1995 0:00:00,"2,3","E","G","4","O",1/1/1987 0:00:00,8/1/2016 0:00:00,,,"E","E","E","E","E"
27,"6064",3,10/1/1990 0:00:00,"1","E","G","6S","O",8/15/1990 0:00:00,8/1/2008 0:00:00,,,"E","E","E","E","E"
29,"0601",2,6/30/1993 0:00:00,"5","E","S","6","O",1/1/1987 0:00:00,7/21/2000 0:00:00,,,"E","E","E","E","E"
29,"0601",3,5/1/1995 0:00:00,"2,3,5","E","S","6","O",1/1/1987 0:00:00,7/21/2000 0:00:00,,,"E","E","E","E","E"
29,"0601",4,11/8/1995 0:00:00,"7","E","S","6","O",1/1/1987 0:00:00,7/21/2000 0:00:00,,,"E","E","E","E","E"
29,"0607",3,7/10/1992 0:00:00,"19","E","S","6","O",1/1/1987 0:00:00,9/2/1994 0:00:00,,,"E","E","E","E","E"
29,"0607",4,11/4/1993 0:00:00,"24","E","S","6","O",1/1/1987 0:00:00,9/2/1994 0:00:00,,,"E","E","E","E","E"
29,"0659",3,6/28/1993 0:00:00,"24","E","S","6","O",1/1/1987 0:00:00,9/2/1994 0:00:00,,"S","E","E","E","E","E"
29,"0659",4,10/4/1993 0:00:00,"24","E","S","6","O",1/1/1987 0:00:00,9/2/1994 0:00:00,,"S","E","E","E","E","E"
29,"0666",3,6/1/1995 0:00:00,"54","E","S","6","O",1/1/1987 0:00:00,7/1/2006 0:00:00,,"S","E","E","E","E","E"
29,"0759",2,6/15/1990 0:00:00,"2,3,4,10,19","E","S","7","O",1/1/1987 0:00:00,12/31/2005 0:00:00,,"S","E","E","E","E","E"
29,"0760",2,6/11/1990 0:00:00,"2,3,4,10,12,20","E","S","7","O",1/1/1987 0:00:00,12/31/2005 0:00:00,,"S","E","E","E","E","E"
29,"A410",3,8/3/1992 0:00:00,"5","E","S","4","O",1/1/1991 0:00:00,5/23/1999 0:00:00,,,"E","E","E","E","E"
29,"A411",3,11/1/1994 0:00:00,"2,3","E","S","4","O",1/1/1991 0:00:00,5/23/1999 0:00:00,,"S","E","E","E","E","E"
31,"1030",3,8/7/1996 0:00:00,"31","E","G","1","O",1/1/1987 0:00:00,7/28/1998 0:00:00,,,"E","E","E","E","E"
31,"6700",2,10/29/1988 0:00:00,"19","E","G","6B","O",10/29/1988 0:00:00,6/16/1997 0:00:00,,,"E","E","E","E","E"
31,"6700",3,8/1/1991 0:00:00,"1","E","G","6B","O",10/29/1988 0:00:00,6/16/1997 0:00:00,,,"E","E","E","E","E"
31,"7017",2,6/16/1997 0:00:00,"31","E","G","7A","O",1/1/1987 0:00:00,3/25/1999 0:00:00,,,"E","E","E","E","E"
31,"7050",2,8/3/1995 0:00:00,"55","E","G","7S","O",8/3/1995 0:00:00,7/1/2008 0:00:00,,,"E","E","E","E","E"
31,"A310",3,4/10/1996 0:00:00,"1","E","S","3","O",1/1/1987 0:00:00,7/28/1998 0:00:00,,,"E","E","E","E","E"
31,"A330",3,4/9/1996 0:00:00,"1","E","S","3","O",1/1/1987 0:00:00,7/28/1998 0:00:00,,,"E","E","E","E","E"
31,"A330",4,8/7/1996 0:00:00,"31","E","S","3","O",1/1/1987 0:00:00,7/28/1998 0:00:00,,,"E","E","E","E","E"
31,"A350",3,4/9/1996 0:00:00,"1","E","S","3","O",1/1/1987 0:00:00,7/28/1998 0:00:00,,,"E","E","E","E","E"
31,"A351",3,4/8/1996 0:00:00,"1","E","S","3","O",1/1/1987 0:00:00,7/28/1998 0:00:00,,"S","E","E","E","E","E"
31,"A353",3,4/8/1996 0:00:00,"1","E","S","3","O",1/1/1987 0:00:00,7/28/1998 0:00:00,,"S","E","E","E","E","E"
31,"C410",2,5/7/1992 0:00:00,"1,2,3,6","E","S","4","O",1/1/1991 0:00:00,12/31/2005 0:00:00,,,"E","E","E","E","E"
46,"9187",2,6/13/1991 0:00:00,"1","E","G","1","O",5/1/1989 0:00:00,12/31/1997 0:00:00,"B",,"E","E","E",,"E"
46,"9187",3,7/31/1992 0:00:00,"31","E","G","1","O",5/1/1989 0:00:00,12/31/1997 0:00:00,"B",,"E","E","E",,"E"
46,"0601",2,9/24/1992 0:00:00,"4,10","E","S","6",,1/1/1992 0:00:00,9/1/2003 0:00:00,,,"E","E","E","E","E"
46,"0603",3,6/26/1995 0:00:00,"32,57","E","S","6",,1/1/1992 0:00:00,6/1/2011 0:00:00,,,"E","E","E","E","E"
46,"0604",3,6/26/1995 0:00:00,"32,57","E","S","6",,1/1/1992 0:00:00,6/1/2011 0:00:00,,,"E","E","E","E","E"
46,"0606",3,6/26/1995 0:00:00,"32,57","E","S","6",,1/1/1992 0:00:00,6/1/2011 0:00:00,,,"E","E","E","E","E"
46,"0607",4,7/31/1992 0:00:00,"10,19","E","S","6",,1/1/1992 0:00:00,6/1/2011 0:00:00,,,"E","E","E","E","E"
46,"0608",3,7/31/1992 0:00:00,"10,19","E","S","6",,1/1/1992 0:00:00,6/1/2011 0:00:00,,,"E","E","E","E","E"
46,"0660",4,7/31/1992 0:00:00,"10,19","E","S","6",,1/1/1992 0:00:00,6/1/2011 0:00:00,,"S","E","E","E","E","E"
46,"0661",3,6/26/1995 0:00:00,"32","E","S","6",,1/1/1992 0:00:00,6/1/2011 0:00:00,,"S","E","E","E","E","E"
46,"0859",2,6/28/1995 0:00:00,"1","E","S","8","O",1/1/1992 0:00:00,6/1/2014 0:00:00,,"S","E","E","E","E","E"
46,"3009",2,9/22/1990 0:00:00,"2","E","G","3","O",1/1/1987 0:00:00,5/1/2006 0:00:00,,,"E","E","E","E","E"
46,"3012",2,7/12/1989 0:00:00,"2","E","G","3","O",1/1/1987 0:00:00,6/30/2017 0:00:00,,,"E","E","E","E","E"
46,"3013",2,9/29/1988 0:00:00,"2","E","G","3","O",1/1/1987 0:00:00,6/1/2016 0:00:00,,,"E","E","E","E","E"
46,"7049",4,10/3/1996 0:00:00,"1","E","G","7A","O",7/1/1988 0:00:00,12/31/2002 0:00:00,,,"E","E","E",,"E"
46,"9197",3,10/22/1991 0:00:00,"1","E","G","6B","O",6/1/1989 0:00:00,7/1/2000 0:00:00,,,"E","E","E","E","E"
46,"9197",4,8/21/1995 0:00:00,"31","E","G","6B","O",6/1/1989 0:00:00,7/1/2000 0:00:00,,,"E","E","E","E","E"
83,"0501",3,5/1/1991 0:00:00,"25","E","S","5","O",1/1/1987 0:00:00,7/5/1999 0:00:00,,,"E","E","E","E","E"
83,"0501",4,9/8/1992 0:00:00,"21","E","S","5","O",1/1/1987 0:00:00,7/5/1999 0:00:00,,,"E","E","E","E","E"
83,"0502",3,4/21/1993 0:00:00,"1","E","S","5","O",1/1/1987 0:00:00,5/12/2017 0:00:00,,,"E","E","E","E","E"
83,"0504",3,4/21/1993 0:00:00,"1","E","S","5","O",1/1/1987 0:00:00,5/12/2017 0:00:00,,,"E","E","E","E","E"
83,"0505",3,4/21/1993 0:00:00,"1","E","S","5","O",1/1/1987 0:00:00,5/12/2017 0:00:00,,,"E","E","E","E","E"
83,"0506",3,4/21/1993 0:00:00,"1","E","S","5","O",1/1/1987 0:00:00,5/12/2017 0:00:00,,,"E","E","E","E","E"
83,"0507",3,4/21/1993 0:00:00,"1","E","S","5","O",1/1/1987 0:00:00,5/12/2017 0:00:00,,,"E","E","E","E","E"
83,"0509",3,4/21/1993 0:00:00,"1","E","S","5","O",1/1/1987 0:00:00,5/12/2017 0:00:00,,,"E","E","E","E","E"
83,"6450",3,4/21/1993 0:00:00,"1","E","G","6B","O",9/13/1989 0:00:00,5/12/2017 0:00:00,,,"E","E","E","E","E"
83,"6451",3,4/21/1993 0:00:00,"1","E","G","6B","O",9/13/1989 0:00:00,5/12/2017 0:00:00,,,"E","E","E","E","E"
83,"6452",3,9/10/1993 0:00:00,"1","E","G","7B","O",8/31/1989 0:00:00,7/1/2005 0:00:00,,,"E","E","E","E","E"
83,"6454",2,6/6/1990 0:00:00,"1,24","E","G","2","O",1/1/1987 0:00:00,4/30/1998 0:00:00,,,"E","E","E","E","E"
83,"6454",4,9/18/1991 0:00:00,"31","E","G","2","O",1/1/1987 0:00:00,4/30/1998 0:00:00,,,"E","E","E","E","E"
83,"6454",5,9/23/1992 0:00:00,"1","E","G","2","O",1/1/1987 0:00:00,4/30/1998 0:00:00,,,"E","E","E","E","E"
83,"6454",6,3/2/1993 0:00:00,"25","E","G","2","O",1/1/1987 0:00:00,4/30/1998 0:00:00,,,"E","E","E","E","E"
83,"6454",7,10/20/1994 0:00:00,"25","E","G","2","O",1/1/1987 0:00:00,4/30/1998 0:00:00,,,"E","E","E","E","E"
83,"6454",8,3/22/1995 0:00:00,"24","E","G","2","O",1/1/1987 0:00:00,4/30/1998 0:00:00,,,"E","E","E","E","E"
83,"6454",10,5/27/1996 0:00:00,"25","E","G","2","O",1/1/1987 0:00:00,4/30/1998 0:00:00,,,"E","E","E","E","E"
83,"6454",11,9/15/1997 0:00:00,"25","E","G","2","O",1/1/1987 0:00:00,4/30/1998 0:00:00,,,"E","E","E","E","E"
83,"6454",12,4/30/1998 0:00:00,"55","E","G","6S","O",4/30/1998 0:00:00,5/15/2017 0:00:00,,,"E","E","E","E","E"
83,"A310",2,6/14/1990 0:00:00,"1","E","S","3","O",1/1/1987 0:00:00,7/1/2004 0:00:00,,,"E","E","E","E","E"
83,"A310",3,8/31/1990 0:00:00,"19","E","S","3","O",1/1/1987 0:00:00,7/1/2004 0:00:00,,,"E","E","E","E","E"
83,"A340",2,5/21/1998 0:00:00,"25","E","S","3","O",1/1/1987 0:00:00,7/1/2004 0:00:00,,,"E","E","E","E","E"
20,"0201",5,3/22/2005 0:00:00,"2,3","E","S","2","O",1/1/1992 0:00:00,6/1/2019 0:00:00,,,"E","E","E","E","E"
20,"1010",3,6/1/1995 0:00:00,"22","E","G","1","O",1/1/1987 0:00:00,5/1/1997 0:00:00,,,"E","E","E","E","E"
